Protein,log2FC,t_p,w_p,n_pairs,t_fdr,w_fdr,changed,strict,direction
PDE1C,0.02992222222222222,0.7119498759156502,0.65234375,9,0.8606979499919976,0.8251221333979328,False,False,up
ADH4,0.026077777777777773,0.7120323548868637,0.8203125,9,0.8606979499919976,0.9312940906455354,False,False,up
IL13RA1,0.021655555555555546,0.7121198564795894,0.734375,9,0.8606979499919976,0.8768321349557522,False,False,up
TFF3,0.1018,0.7132226996518481,1.0,10,0.8612333973713476,1.0,False,False,up
NEO1,-0.03601111111111111,0.713246871670355,0.65234375,9,0.8612333973713476,0.8251221333979328,False,False,down
SDC4,0.1710000000000001,0.7134425794363258,0.359375,9,0.8612333973713476,0.6354511589403974,False,False,up
GALNT5,0.044569999999999985,0.7143153783683461,0.845703125,10,0.8619327305948367,0.9341218797010155,False,False,up
LY75,-0.05548749999999998,0.7155636424226781,0.84375,8,0.8630843604909264,0.9341218797010155,False,False,down
TGFA,-0.15638750000000004,0.7168266959968317,0.3828125,8,0.8640835505998518,0.6402735264806378,False,False,down
STX5,-0.07012,0.7169804606100915,0.275390625,10,0.8640835505998518,0.5406565946691176,False,False,down
PI16,-0.029311111111111128,0.7176527489652595,0.91015625,9,0.8645390171086823,0.9771010014435222,False,False,down
GGA1,0.08866666666666667,0.7192827224790129,0.734375,9,0.8661473374009271,0.8768321349557522,False,False,up
MYBPC1,0.039920000000000025,0.7195960190861787,0.845703125,10,0.8661694705147979,0.9341218797010155,False,False,up
CDH2,-0.026333333333333337,0.7204017225621884,0.5703125,9,0.866784047179495,0.7765451147426982,False,False,down
BCL7A,-0.16363333333333335,0.721090070697047,0.734375,9,0.8671306909795055,0.8768321349557522,False,False,down
POLR2F,-0.027311111111111123,0.7216677793968702,0.65234375,9,0.8671306909795055,0.8251221333979328,False,False,down
HTR1B,0.0747222222222222,0.7217688613729278,0.5703125,9,0.8671306909795055,0.7765451147426982,False,False,up
HADH,-0.08187499999999999,0.7219075427813809,0.546875,8,0.8671306909795055,0.7765451147426982,False,False,down
FGF3,-0.06725999999999999,0.7221660436281478,0.921875,10,0.8671306909795055,0.9771010014435222,False,False,down
PLCB1,-0.07703999999999997,0.7225776475080561,0.921875,10,0.8671500146103428,0.9771010014435222,False,False,down
PIGR,0.045419999999999995,0.7227726373054543,0.76953125,10,0.8671500146103428,0.8933254076086956,False,False,up
SCN2B,-0.07780000000000004,0.7244745276601976,0.4609375,8,0.8688369488517764,0.717041015625,False,False,down
