Protein,log2FC,t_p,w_p,n_pairs,t_fdr,w_fdr,changed,strict,direction
TNFRSF14,0.11732000000000001,0.31117777559592313,0.625,10,0.9898389461302447,0.986577545700309,False,False,up
ACRV1,0.22391111111111112,0.3115792995430406,0.30078125,9,0.9898389461302447,0.97517578125,False,False,up
COMMD1,-0.14122222222222222,0.3117739593107431,0.1640625,9,0.9898389461302447,0.97517578125,False,False,down
AIDA,-0.3179571428571428,0.31204040470624994,0.21875,7,0.9898389461302447,0.97517578125,False,False,down
STAT2,0.15711111111111112,0.3128981192001983,0.359375,9,0.9898389461302447,0.97517578125,False,False,up
MORN4,0.22504444444444444,0.313057805836191,0.5703125,9,0.9898389461302447,0.986577545700309,False,False,up
SERPINA12,0.2594888888888887,0.3133027856656947,0.30078125,9,0.9898389461302447,0.97517578125,False,False,up
DRAXIN,-0.11384444444444444,0.31359911898639004,0.30078125,9,0.9898389461302447,0.97517578125,False,False,down
PEBP1,-0.33648,0.3136123319570975,0.275390625,10,0.9898389461302447,0.97517578125,False,False,down
MRPL28,0.2590222222222222,0.3142259663352155,0.30078125,9,0.9898389461302447,0.97517578125,False,False,up
THY1,0.06315,0.31452980116243445,0.232421875,10,0.9898389461302447,0.97517578125,False,False,up
PPP1R9B,-0.40790999999999994,0.31459843806341553,0.232421875,10,0.9898389461302447,0.97517578125,False,False,down
RRAS,-0.4477857142857143,0.31496011984100963,0.375,7,0.9898389461302447,0.97517578125,False,False,down
MAX,-0.41277500000000006,0.31513073070630293,0.640625,8,0.9898389461302447,0.986577545700309,False,False,down
NMI,-0.35099,0.3155198304102651,0.375,10,0.9898389461302447,0.97517578125,False,False,down
CDC123,0.3190222222222222,0.3157440466929591,0.359375,9,0.9898389461302447,0.97517578125,False,False,up
POLR2A,0.2968555555555556,0.3158409898780479,0.49609375,9,0.9898389461302447,0.986577545700309,False,False,up
NPC2,0.18232000000000004,0.3163819443013438,0.556640625,10,0.9898389461302447,0.986577545700309,False,False,up
OGFR,-0.13135999999999998,0.31661128316655185,0.322265625,10,0.9898389461302447,0.97517578125,False,False,down
FRMD7,-0.3667285714285714,0.317055513607378,0.375,7,0.9898389461302447,0.97517578125,False,False,down
ATXN2,0.30031250000000004,0.3173313270705988,0.3125,8,0.9898389461302447,0.97517578125,False,False,up
IL17F,-0.19046666666666667,0.31744350146451644,0.12890625,9,0.9898389461302447,0.97517578125,False,False,down
ERBIN,-0.45416999999999996,0.31754715426274743,0.275390625,10,0.9898389461302447,0.97517578125,False,False,down
DCTN1,-0.3550199999999999,0.3177332557732985,0.375,10,0.9898389461302447,0.97517578125,False,False,down
MIF,-0.49711,0.3180908667422714,0.322265625,10,0.9898389461302447,0.97517578125,False,False,down
KDM3A,-0.20784444444444444,0.3182143470993016,0.30078125,9,0.9898389461302447,0.97517578125,False,False,down
ITGB7,-0.07796999999999996,0.319139856495003,0.16015625,10,0.9898389461302447,0.97517578125,False,False,down
MASP1,-0.08968888888888894,0.3196000097770333,0.359375,9,0.9898389461302447,0.97517578125,False,False,down
NDRG1,0.17753750000000001,0.32029966750478506,0.4609375,8,0.9898389461302447,0.986577545700309,False,False,up
CLASP1,0.5384444444444445,0.3203586576127015,0.5703125,9,0.9898389461302447,0.986577545700309,False,False,up
