protein,contrast,module,MM,GS,score,top_term,top_term_fdr
DECR1,PR2/PT2,black,0.873,0.514,0.448,Positive Regulation Of Multicellular Organismal Process,7.1e-03
CASP7,PR2/PT2,black,0.837,0.535,0.448,Proteolysis,3.4e-09
ATOX1,PR2/PT2,black,0.837,0.532,0.446,,
TALDO1,PR2/PT2,black,0.851,0.523,0.445,,
PRKAR1A,PR2/PT2,black,0.886,0.501,0.444,Negative Regulation Of Macromolecule Metabolic Process,7.8e-04
ANGPT2,PT1/PT2,lightgrey,0.755,0.583,0.44,PI3K-Akt signaling pathway,1.1e-08
CRIP2,PT1/PT2,lightgrey,0.789,0.557,0.439,,
APPL2,PR2/PT2,black,0.837,0.524,0.439,,
DXO,PR2/PT2,black,0.777,0.565,0.439,Negative Regulation Of Gene Expression,8.2e-04
MOCS2,PR2/PT2,black,0.844,0.52,0.439,,
JAM2,PT1/PT2,dimgrey,0.834,0.524,0.437,Cell adhesion molecules,3.2e-04
CLSTN2,PT1/PT2,lightgrey,0.794,0.547,0.434,Positive Regulation Of Cell Junction Assembly,1.4e-02
SNX9,PR2/PT2,black,0.817,0.53,0.433,Positive Regulation Of Protein Phosphorylation,6.5e-08
CELSR2,PT1/PT2,lightgrey,0.737,0.584,0.431,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules,2.3e-06
AKT2,PR2/PT2,black,0.843,0.509,0.429,Regulation Of Cell Migration,3.7e-11
PSTPIP2,PR2/PT2,black,0.809,0.528,0.428,,
COLEC12,PT1/PT2,dimgrey,0.765,0.555,0.425,Defense Response To Bacterium,1.7e-02
GATD3,PR2/PT2,black,0.727,0.564,0.41,,
REG1A,PT1/PT2,dimgrey,0.746,0.547,0.408,Positive Regulation Of Cell Population Proliferation,5.4e-04
DNAJC9,PR2/PT2,black,0.795,0.508,0.404,,
PLIN3,PR2/PT2,black,0.784,0.508,0.398,Vesicle-Mediated Transport,5.8e-03
HMOX2,PR2/PT2,black,0.768,0.509,0.391,,
NPTX1,PT1/PT2,lightgrey,0.774,0.501,0.388,Nervous System Development,4.2e-02
PACS2,PR2/PT2,black,0.727,0.526,0.382,,
