MM,GS,score,symbol,name,module
0.7953378471647593,0.508262449844407,0.40424036265393715,DNAJC9,DnaJ heat shock protein family (Hsp40) member C9,impute · PR2_PT2_black
0.7843133712721144,0.5076877250962302,0.3981862712236947,PLIN3,perilipin 3,impute · PR2_PT2_black
0.7682186724210793,0.5090649253672357,0.39107318114175366,HMOX2,heme oxygenase 2,impute · PR2_PT2_black
0.7269301989718204,0.5257528883342196,0.3821856517268036,PACS2,phosphofurin acidic cluster sorting protein 2,impute · PR2_PT2_black
0.8363643160901504,0.6228118502243595,0.5208976071657376,CRIM1,cysteine rich transmembrane BMP regulator 1,impute · PT1_PT2_lightgrey
0.7592071080608013,0.6483240025353448,0.49221219105126274,EGFLAM,"EGF like, fibronectin type III and laminin G domains",impute · PT1_PT2_lightgrey
0.788139594225442,0.5954026727602302,0.4692604209099914,CTSO,cathepsin O,impute · PT1_PT2_lightgrey
0.7910825452615285,0.5911038098195073,0.4676119063858023,CTSC,cathepsin C,impute · PT1_PT2_lightgrey
0.7859222258354924,0.578463934932179,0.4546276633074555,SERPINC1,serpin family C member 1,impute · PT1_PT2_lightgrey
0.7548870047704123,0.5825013176021085,0.43972267491947437,ANGPT2,angiopoietin 2,impute · PT1_PT2_lightgrey
0.7890964148361373,0.5569061153935253,0.439452619057351,CRIP2,cysteine rich protein 2,impute · PT1_PT2_lightgrey
0.7937867354042655,0.5473486754036814,0.4344781181765372,CLSTN2,calsyntenin 2,impute · PT1_PT2_lightgrey
0.737236568142507,0.5839906381147167,0.4305392538710465,CELSR2,cadherin EGF LAG seven-pass G-type receptor 2,impute · PT1_PT2_lightgrey
0.7741616313948598,0.5011503171750977,0.3879713471183251,NPTX1,neuronal pentraxin 1,impute · PT1_PT2_lightgrey
