Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,theme
GO_Biological_Process_2023,Positive Regulation Of Angiogenesis (GO:0045766),18/119,5.348216223927512e-08,2.4504554335086057e-06,0,0,5.445827439886846,91.184486215325,ITGB1;CD40;ECM1;GRN;ANXA3;TNFSF12;SERPINE1;VEGFD;PGF;VEGFA;CDH5;SMOC2;CNTN1;ANGPTL3;CHI3L1;ITGA5;EPHA1;CD34,vascular
GO_Biological_Process_2023,Positive Regulation Of Interleukin-8 Production (GO:0032757),13/61,6.038715124129552e-08,2.725533512741457e-06,0,0,8.233333333333333,136.85849673866156,CD74;SERPINE1;F2R;PARK7;PRG3;CNTN1;CHI3L1;LGALS9;CD14;CD58;TLR3;CD244;HSPA1A,immune
GO_Biological_Process_2023,Positive Regulation Of Hydrolase Activity (GO:0051345),22/176,6.367589400565194e-08,2.83170446283958e-06,0,0,4.38110451848471,72.59253509367517,RTN4R;ITGB1;CCL13;CCL24;CD40;CCL23;CCL11;CCL22;CCL21;SEMA4D;CCL20;F2R;THY1;CTSS;CCL8;CCL5;PSAP;CCL4;XCL1;AGRN;CCL17;CCL16,
GO_Biological_Process_2023,Positive Regulation Of Protein Modification Process (GO:0031401),25/225,8.628279534466144e-08,3.7746849421771246e-06,0,0,3.842696629213483,62.50390315909825,CD40;TREM2;AGER;CRKL;C3;CDH5;CD74;TGFB1;ANGPT1;SEMA4D;HGF;RARRES2;NTRK3;ADIPOQ;PLAUR;VEGFD;LILRB2;F2;MMP9;PGF;VEGFA;EFNA1;PECAM1;GAS6;ENG,electrolyte transport
GO_Biological_Process_2023,Negative Regulation Of Extracellular Matrix Organization (GO:1903054),6/9,8.73769662541001e-08,3.7746849421771246e-06,0,0,60.27725856697819,979.6883409341,CST3;DPP4;NOTCH1;TGFB1;TNFRSF1B;TNFRSF1A,
GO_Biological_Process_2023,Regulation Of GTPase Activity (GO:0043087),24/214,1.3100023695858825e-07,5.579503050179871e-06,0,0,3.878947368421053,61.473816639543664,RTN4R;ITGB1;CCL13;CCL24;CD40;CCL23;CCL11;CCL22;CCL21;SEMA4D;CCL20;F2R;THY1;SOD1;KLRK1;CCL8;CCL5;CCL4;PLXNB2;XCL1;EPHA1;AGRN;CCL17;CCL16,
GO_Biological_Process_2023,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),13/65,1.3407293922959638e-07,5.631063447643047e-06,0,0,7.5984251968503935,120.24418108102137,CXCL6;CCL13;REG3A;CXCL9;REG1B;REG1A;CXCL1;PPBP;CXCL3;F2;CXCL10;CXCL11;PGLYRP1,immune
GO_Biological_Process_2023,Cellular Response To Molecule Of Bacterial Origin (GO:0071219),17/117,2.274748922793768e-07,9.423069510312814e-06,0,0,5.1867511885895405,79.33771822177071,CD86;CXCL6;CXCL9;SERPINE1;CXCL1;PPBP;LILRB2;CXCL3;TNFRSF1B;CXCL10;CXCL11;CASP7;TNIP1;AXL;SIRPA;ADAM9;CD14,
GO_Biological_Process_2023,Regulation Of Endothelial Cell Proliferation (GO:0001936),15/93,2.913922204025483e-07,1.1907703709423054e-05,0,0,5.855510997691092,88.11721727483976,CCL24;ECM1;CCL11;ANGPT1;EGF;TNFSF12;SORD;PDGFB;VEGFD;PRL;PGF;VEGFA;ATP5IF1;CNTN1;APOE,vascular
GO_Biological_Process_2023,Regulation Of Plasminogen Activation (GO:0010755),7/16,3.217350286137004e-07,1.29723563537044e-05,0,0,23.47044548448605,350.8723054440563,CLEC3B;SERPINE2;PLAU;SERPINE1;PLAUR;ENO1;MELTF,
GO_Biological_Process_2023,Positive Regulation Of T Cell Activation (GO:0050870),16/107,3.44300594125885e-07,1.3699539429429953e-05,0,0,5.358464320489637,79.74333037205896,CD86;VCAM1;THY1;LILRB2;SIRPB1;PTPRC;CD40LG;CD6;CD209;CCL5;IL12B;SIRPA;LGALS9;CD46;B2M;CD276,immune
GO_Biological_Process_2023,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),32/364,3.5245923846005934e-07,1.3842035546795058e-05,0,0,2.9760600844938194,44.21928538558572,CALCOCO1;NOTCH1;PDCD5;PDGFB;TNC;TREM2;PARK7;ROBO1;CDH5;CDH3;LAMP3;LGALS9;CD34;CD74;MAP2K1;TGFB1;ANGPT1;IFNGR1;EGF;NTRK3;FN1;AZU1;MMP8;DKK1;VEGFA;DNAJA4;CNTN1;CD46;GAS6;TLR3;HSPA1A;EIF4G1,
GO_Biological_Process_2023,Positive Regulation Of Mononuclear Cell Migration (GO:0071677),9/31,3.960838236582645e-07,1.535586516336656e-05,0,0,12.375160051216389,182.43015407322827,CXCL10;CCL5;SERPINE1;CXCL17;LGALS9;GAS6;PLA2G7;JAM2;LGMN,
GO_Biological_Process_2023,Positive Regulation Of Phagocytosis (GO:0050766),12/60,4.074336673591271e-07,1.5595941899924052e-05,0,0,7.588050314465409,111.64592614108992,C3;FCN2;PTPRC;SIRPA;TREM2;AZU1;GAS6;CFP;CD300LF;MERTK;SIRPB1;MBL2,
