protein,fc_pre,p_pre,fc_post,p_post,fc_interaction,p_interaction,fdr_pre,fdr_post,fdr_interaction
GAS2,-0.08377499999999999,0.6359636718916708,-0.007088888888888879,0.9634213968196566,-0.11087142857142858,0.678728170775582,0.8390037126258324,0.9832708276762753,0.9619401148472417
GATA3,-0.16692,0.4970089288355951,-0.13512222222222225,0.5658361664952178,-0.025288888888888878,0.9467752056175711,0.7367367471841466,0.78890334830139,0.9940568131447077
GIMAP8,-0.013979999999999992,0.9377289783023441,-0.10327777777777777,0.5953121805808907,-0.04323333333333333,0.8761435180025776,0.9736752521360483,0.8036975489613204,0.9939549333965099
GIPC3,1.07684,0.009290476848971253,1.27444,0.018520226116425554,0.19760000000000008,0.7258076602991261,0.16058218162856128,0.1211858002896621,0.9762572927931781
GJA8,0.20217999999999994,0.42563055393218385,-0.3925111111111111,0.2524930352115732,-0.6066999999999998,0.2689760985982721,0.6853124768051386,0.5192018942088013,0.9471774407456163
GLIPR1,0.37851,0.04942054123924366,0.22020999999999996,0.20116811422785255,-0.1583,0.390628693005759,0.2581595471999858,0.4625856801340591,0.9471774407456163
GLYR1,0.04159000000000001,0.748964360420262,-0.13786,0.24806734900981414,-0.17945,0.3536329747455964,0.8937681928979407,0.5137793837561427,0.9471774407456163
GORASP2,0.11918,0.39258692332039136,0.19629,0.14854247313669441,0.07710999999999998,0.7078509475622503,0.6640301558522221,0.387238496961498,0.9722609088068683
GPD1,-0.04009999999999998,0.8148854330595359,0.32337,0.11742877061312093,0.36346999999999996,0.22315754313824002,0.9219347890305949,0.33626289284731903,0.9471774407456163
GPHA2,0.06305000000000001,0.1828113847547895,-0.05286999999999999,0.501067672309018,-0.11591999999999998,0.2896927211240697,0.45984576062463317,0.7453857322753898,0.9471774407456163
GPIHBP1,0.17883999999999997,0.4482215738637072,0.13359999999999997,0.679553074076621,-0.045240000000000016,0.92682797442183,0.6992097789408488,0.8448002584323063,0.9940568131447077
GPR15L,0.1383,0.5265002587238063,-0.28642,0.2534105321026209,-0.42471999999999993,0.06615003094535087,0.7593803437066976,0.5199163011993716,0.9151422335713614
GPRC5C,0.05614,0.5888441865765426,0.1403,0.2056622423823263,0.08415999999999997,0.5736750310970535,0.8079392938428247,0.46592392007129474,0.956703010770281
GRSF1,0.2908,0.032454475885724275,0.2927666666666667,0.3366258092943903,0.04952222222222234,0.8713911340248324,0.22551429244478374,0.6127018191016623,0.9938501124438283
GTF2IRD1,0.1163124999999999,0.17737440563831658,-0.16872222222222227,0.11860915039068651,-0.32244285714285714,0.11411586307605912,0.45236632271299837,0.3383239649008126,0.9471774407456163
GUCY2C,0.12817499999999998,0.06767820319289677,-0.016777777777777794,0.9471880928026691,-0.049071428571428606,0.8751760146908398,0.2928987635334172,0.9767773312229701,0.9939549333965099
H2AP,-0.14667999999999995,0.6319390985203641,-0.08072222222222224,0.7603196874427909,0.2505111111111111,0.5399861670438089,0.8363230051589323,0.8894141355095471,0.9519862693342023
HDDC2,0.035809999999999995,0.737763436263321,0.09307000000000001,0.4119766102735938,0.05726000000000002,0.5221998778420813,0.8912376032863418,0.6780591774201841,0.9519862693342023
HMMR,0.16609999999999997,0.432370529069093,0.014922222222222233,0.958851937388554,-0.11580000000000003,0.7817585582868876,0.6857963720367232,0.9820120105327369,0.9839089183419631
HRAS,-0.08592500000000002,0.6066372048930204,-0.07592222222222222,0.47636183707791724,0.00847142857142859,0.967482284065352,0.8205801602098038,0.7262849389387238,0.994306177352909
HSPA2,-0.0011800000000000254,0.9938248991985975,-0.22052999999999998,0.1080153154673167,-0.21935,0.05879234977618318,0.9967161633850612,0.3189384031601369,0.9064257716854434
ID4,0.05040000000000003,0.7345238666868616,-0.29232222222222215,0.11058594361351015,-0.23497142857142858,0.33476785413513976,0.8899097403406183,0.32328507695173414,0.9471774407456163
IDO1__Oncology_II,-0.07125000000000001,0.5331836505568757,-0.21106999999999995,0.1622355958024051,-0.13981999999999994,0.34054413754408114,0.7662221323431996,0.40863287424143446,0.9471774407456163
IFI30,0.13360999999999998,0.13677326488009006,0.03550000000000001,0.7625551707024141,-0.09810999999999996,0.40496340676596265,0.40412510007265057,0.8894677399596037,0.9471774407456163
IFIT1,-0.0783875,0.7924413847971201,-0.13265555555555555,0.28806742660420803,0.11198571428571422,0.6570968186938511,0.913374966078438,0.5621063246538991,0.9619401148472417
IFIT3,0.1504625,0.24086255589232944,0.2231888888888889,0.0281462963504853,-0.08022857142857144,0.5216830717452778,0.5281133724879659,0.14507687487320317,0.9519862693342023
IFNAR1,0.03827,0.5804600421652404,-0.07110000000000001,0.2577018745535605,-0.10937000000000001,0.1400404335628623,0.8015104464845281,0.5250541660460198,0.9471774407456163
IGLON5,-0.23789000000000002,0.42663335343650366,-0.28395555555555557,0.2348710778930289,0.007788888888888895,0.9865135407707755,0.6853124768051386,0.4989524416845401,0.9956636148349496
IL22,0.01688999999999999,0.8240468209039479,0.048419999999999984,0.7345233813101775,0.031530000000000016,0.7701655718313475,0.9258422409472198,0.8745988882986528,0.9812334329398464
IL25,-0.15558999999999995,0.4034930932972989,-0.15636666666666665,0.3439975318635365,0.07915555555555555,0.6355620581948749,0.6712699366406931,0.6196485136306028,0.9619401148472417
IL2RG,0.41590000000000005,0.021896673843316183,-0.2987,0.12428547016000828,-0.7146,0.012009514576552634,0.20240610399962805,0.347762582219147,0.7865420294170457
IL3,-0.2676,0.4593414529264954,-1.0404777777777778,0.3684684778106048,-0.915588888888889,0.4929012054317061,0.7054601090946386,0.6413272439618228,0.9502255522036434
IL9,0.18710000000000002,0.2007685022922747,-0.02994444444444448,0.894222353845081,-0.25131428571428577,0.5292011217379222,0.4789275200524941,0.9559909621853429,0.9519862693342023
IMMT,0.36522000000000004,0.009370755309750484,0.25739,0.14966994744890413,-0.10782999999999995,0.533407564074551,0.16058218162856128,0.38845433357321585,0.9519862693342023
INSL4,-0.12488999999999999,0.40542005834389605,-0.20401999999999995,0.0713471223168132,-0.07913000000000002,0.7024429318198906,0.6725715027749105,0.24452076688989455,0.9701503587453412
INSL5,-0.022910000000000007,0.8082078214137984,-0.29335,0.10101278219726821,-0.27044,0.25493498255126573,0.9189964919173103,0.306586316214436,0.9471774407456163
